,spk,fid,audio_path,gray_video_path,optical_flow_path,audio_length,video_length,video_H,video_W
1754,19M,sx134,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx134.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx134.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx134.npy,71680,277,67,67
1755,19M,sx135,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx135.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx135.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx135.npy,66560,259,67,67
1756,19M,sx136,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx136.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx136.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx136.npy,69974,273,67,67
1757,19M,sx137,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx137.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx137.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx137.npy,72363,282,67,67
1758,19M,sx138,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx138.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx138.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx138.npy,68267,265,67,67
1759,19M,sx139,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx139.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx139.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx139.npy,65537,254,67,67
1760,19M,sx140,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx140.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx140.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx140.npy,63830,248,67,67
1761,19M,sx219,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx219.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx219.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx219.npy,75094,292,67,67
1762,19M,sx220,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx220.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx220.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx220.npy,77142,300,67,67
1763,19M,sx221,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx221.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx221.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx221.npy,66902,261,67,67
1764,19M,sx222,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx222.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx222.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx222.npy,61782,240,67,67
1765,19M,sx223,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx223.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx223.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx223.npy,56320,219,67,67
1766,19M,sx224,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx224.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx224.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx224.npy,48812,188,67,67
1767,19M,sx225,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx225.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx225.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx225.npy,55979,217,67,67
1768,19M,sx226,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx226.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx226.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx226.npy,65196,252,67,67
1769,19M,sx227,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx227.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx227.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx227.npy,54956,213,67,67
1770,19M,sx228,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx228.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx228.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx228.npy,55638,217,67,67
1771,19M,sx229,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx229.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx229.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx229.npy,47446,184,67,67
1772,19M,sx230,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx230.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx230.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx230.npy,68950,269,67,67
1773,19M,sx309,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx309.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx309.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx309.npy,66560,259,67,67
1774,19M,sx310,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx310.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx310.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx310.npy,63147,246,67,67
1775,19M,sx311,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx311.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx311.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx311.npy,81579,317,67,67
1776,19M,sx312,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx312.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx312.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx312.npy,77142,300,67,67
1777,19M,sx313,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx313.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx313.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx313.npy,63147,244,67,67
1778,19M,sx314,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx314.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx314.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx314.npy,69633,269,67,67
1779,19M,sx315,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx315.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx315.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx315.npy,64172,248,67,67
1780,19M,sx316,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx316.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx316.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx316.npy,62465,242,67,67
1781,19M,sx317,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx317.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx317.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx317.npy,65537,254,67,67
1782,19M,sx318,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx318.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx318.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx318.npy,63489,246,67,67
1783,19M,sx319,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx319.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx319.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx319.npy,69292,269,67,67
1784,19M,sx320,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx320.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx320.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx320.npy,68609,267,67,67
1785,19M,sx39,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx39.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx39.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx39.npy,65537,254,67,67
1786,19M,sx399,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx399.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx399.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx399.npy,63830,248,67,67
1787,19M,sx40,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx40.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx40.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx40.npy,62806,244,67,67
1788,19M,sx400,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx400.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx400.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx400.npy,62806,244,67,67
1789,19M,sx401,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx401.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx401.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx401.npy,65878,257,67,67
1790,19M,sx402,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx402.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx402.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx402.npy,62123,242,67,67
1791,19M,sx403,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx403.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx403.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx403.npy,70316,273,67,67
1792,19M,sx404,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx404.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx404.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx404.npy,70316,273,67,67
1793,19M,sx405,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx405.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx405.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx405.npy,59052,229,67,67
1794,19M,sx406,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx406.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx406.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx406.npy,73046,284,67,67
1795,19M,sx407,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx407.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx407.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx407.npy,74753,290,67,67
1796,19M,sx408,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx408.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx408.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx408.npy,62123,242,67,67
1797,19M,sx409,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx409.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx409.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx409.npy,69292,269,67,67
1798,19M,sx41,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx41.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx41.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx41.npy,72022,279,67,67
1799,19M,sx410,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx410.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx410.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx410.npy,62465,242,67,67
1800,19M,sx42,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx42.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx42.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx42.npy,57345,223,67,67
1801,19M,sx43,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx43.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx43.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx43.npy,59393,229,67,67
1802,19M,sx44,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx44.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx44.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx44.npy,61099,238,67,67
1803,19M,sx45,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx45.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx45.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx45.npy,63489,246,67,67
1804,19M,sx46,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx46.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx46.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx46.npy,58710,227,67,67
1805,19M,sx47,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx47.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx47.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx47.npy,59734,231,67,67
1806,19M,sx48,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx48.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx48.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx48.npy,66219,257,67,67
1807,19M,sx49,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx49.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx49.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx49.npy,64854,252,67,67
1808,19M,sx50,/project/pi_mfiterau_umass_edu/TCD_TIMIT/19M/straightcam/sx50.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/19M/sx50.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/19M/sx50.npy,73387,286,67,67
1809,58F,sa1,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/sa1.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/sa1.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/sa1.npy,74412,290,67,67
1810,58F,sa2,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/sa2.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/sa2.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/sa2.npy,71339,277,67,67
1811,58F,si1147,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1147.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1147.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1147.npy,70316,273,67,67
1812,58F,si1152,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1152.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1152.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1152.npy,89089,346,67,67
1813,58F,si1236,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1236.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1236.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1236.npy,63489,246,67,67
1814,58F,si1241,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1241.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1241.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1241.npy,104107,405,67,67
1815,58F,si1333,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1333.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1333.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1333.npy,97622,380,67,67
1816,58F,si1415,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1415.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1415.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1415.npy,69974,271,67,67
1817,58F,si1418,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1418.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1418.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1418.npy,94209,365,67,67
1818,58F,si1419,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1419.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1419.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1419.npy,94892,369,67,67
1819,58F,si1558,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1558.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1558.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1558.npy,86017,336,67,67
1820,58F,si1604,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1604.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1604.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1604.npy,63147,244,67,67
1821,58F,si1662,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1662.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1662.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1662.npy,51200,198,67,67
1822,58F,si1774,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1774.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1774.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1774.npy,63147,246,67,67
1823,58F,si1777,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1777.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1777.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1777.npy,60417,234,67,67
1824,58F,si1782,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1782.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1782.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1782.npy,75094,292,67,67
1825,58F,si1866,/project/pi_mfiterau_umass_edu/TCD_TIMIT/58F/straightcam/si1866.wav,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_gray_nmcroi_dataout/58F/si1866.npy,/project/pi_mfiterau_umass_edu/sidong/speech/dataset/tcd_timit/script/dda_optical_flow_nmcroi_dataout/58F/si1866.npy,80897,315,67,67
